movieId,imdbId,tmdbId
32898,0000417,775
7065,0004972,618
62383,0006333,30266
7243,0006864,3059
8511,0008133,47653
3309,0009018,36208
72626,0009932,53516
6987,0010323,234
25737,0011237,2972
59945,0011439,42657
83322,0011984,50704
83318,0012224,51360
83096,0012255,51359
3310,0012349,10098
83361,0012543,25770
83359,0012570,51362
83411,0013025,38742
4768,0013086,5998
25744,0013257,57283
44587,0013427,669
1348,0013442,653
8609,0014341,701
8235,0014429,22596
3140,0014538,32628
4405,0015064,5991
7074,0015163,32318
25750,0015324,992
7302,0015400,28963
3742,0015648,643
25752,0015841,42359
3133,0015863,33015
3629,0015864,962
25753,0015881,1405
91286,0016029,29879
4277,0016039,2981
25755,0016220,964
3232,0016332,32600
6986,0016641,31510
7309,0016654,50075
4404,0016847,10728
121618,0016938,262176
2227,0017075,2760
2010,0017136,19
957,0017350,85638
3492,0017416,85689
7914,0017668,222
8275,0017765,34847
3022,0017925,961
8423,0018051,16661
58649,0018192,42536
8125,0018455,631
1925,0018578,28966
25763,0018737,905
25764,0018742,31411
3306,0018773,28978
6985,0019254,780
25769,0019421,25768
2102,0019422,53565
2221,0019702,543
1926,0019729,65203
6433,0019760,26317
33312,0019777,20625
59846,0020030,79761
25771,0020530,626
1927,0020629,143
7706,0020640,13913
4970,0020697,228
25773,0021079,27899
2219,0021165,31930
25774,0021577,5729
1928,0021746,42861
3307,0021749,901
2644,0021814,138
32280,0021818,42837
2648,0021884,3035
72683,0022080,8353
1260,0022100,832
8228,0022111,28257
25777,0022158,13911
7056,0022286,17687
5599,0022458,977
5560,0022599,31514
976,0022879,22649
8507,0022913,136
1929,0022958,33680
7091,0023027,13912
8044,0023042,29740
2633,0023245,15849
2214,0023285,15007
123663,0023322,53575
2904,0023369,61369
53038,0023382,38077
2215,0023395,36049
25788,0023427,877
8670,0023563,12206
3739,0023622,195
25792,0023634,28268
7881,0023694,26860
80748,0023753,25694
25795,0023948,39130
1256,0023969,3063
7080,0024034,3062
7081,0024166,34456
3932,0024184,10787
2366,0024216,244
4921,0024264,39938
48301,0024473,43122
8256,0024481,31526
25801,0024548,43595
71102,0024663,140887
70121,0024805,53830
25805,0024844,43904
3086,0024852,25898
98458,0024854,31621
25807,0024894,24106
5097,0024914,29887
907,0025164,28288
905,0025316,3078
2212,0025452,8208
99270,0025829,46159
39779,0025862,18994
950,0025878,3529
4278,0025913,39266
32160,0025919,31835
965,0026029,260
1340,0026138,229
8167,0026174,16905
87383,0026252,29877
8572,0026641,43897
1931,0026752,12311
7132,0026778,37719
99085,0026835,43895
52913,0027067,31866
945,0027125,3080
7834,0027260,14588
47606,0027421,57840
5098,0027527,32484
4999,0027532,31507
7050,0027630,28292
25825,0027652,14615
164977,0027660,137608
1932,0027698,43277
25826,0027884,31773
961,0027893,23114
3462,0027977,3082
25827,0027996,24807
947,0028010,13562
25828,0028096,17030
99089,0028118,43268
2210,0028212,12684
99273,0028315,27597
7055,0028333,20325
7222,0028346,37833
6254,0028597,14675
1067,0028757,66473
8542,0028772,11939
3447,0028944,36652
3134,0028950,777
5099,0028988,28345
36553,0029047,78734
4800,0029081,43860
1933,0029146,43278
944,0029162,3598
8712,0029284,41463
25839,0029322,37650
6035,0029453,26252
1066,0029546,31530
594,0029583,408
25841,0029604,43864
3217,0029606,22692
32349,0029608,43865
25842,0029682,23101
60343,0029751,43869
6515,0029808,52758
940,0029843,10907
8600,0029870,13696
955,0029947,900
1099,0029992,25842
25850,0030241,16274
7078,0030287,1976
98611,0030302,43157
2208,0030341,940
98803,0030371,38769
7086,0030637,25016
98441,0030657,38716
34002,0030696,15938
1934,0030993,34106
7831,0031047,14589
34018,0031060,22553
